Количество комнат,Площадь (м²),Адрес,Цена ($),Цена (сом)
7,450,"Бишкек, Магистраль",570 000,49 464 600
7,499,с. Байтик,1 077 840,93 534 955
6,220,"Бишкек, Рухий Мурас ж/м",180 000,15 620 400
7,72,"Бишкек, Ден Сяопина - Фучика, фучика х жибек ж",170 000,14 752 600
7,440,"Бишкек, Советская - Куренкеева",365 000,31 674 700
5,250,"Бишкек, Ала-Арча ж/м",850 000,73 763 000
5,52,"Бишкек, Матросова",73 000,6 334 940
5,79.62,"Бишкек, с. Аламудун, Николая Гоголя",95 000,8 244 100
6,235,"Бишкек, Алтын-Ордо ж/м",430 000,37 315 400
7,130,"Чолпон-Ата, Кырк-Чоро",150 000,13 017 000
7,285,"Бишкек, Рабочий Городок, Омский",197 000,17 095 660
5,99,"Бишкек, Станционный",118 000,10 240 040
5,83,"Бишкек, Пишпек ж/м",75 000,6 508 500
7,240,с. Байтик,400 000,34 712 000
7,310,"Бишкек, Киргизия 1 ж/м",485 000,42 088 300
3,73,"Бишкек, Кудайберген",68 000,5 901 040
7,640,"Бишкек, Киргизия 1 ж/м",1 350 000,117 153 000
5,80,Кант,68 000,5 901 040
7,632,"Бишкек, с. Орто-Сай",1 250 000,108 475 000
6,93,"Бишкек, Чуй - Алматинка, Саратовская",155 000,13 450 900
7,334.6,"Бишкек, Арча-Бешик ж/м, Масалиева",940 000,81 573 200
6,302,"Бишкек, Жилгородок Ницца, Токомбаева",700 000,60 746 000
7,600,"Бишкек, Ала-Арча ж/м, байтик баатыра, 9",850 000,73 763 000
5,550,"Бишкек, с. Орто-Сай, балы Кумара, 8",1 250 000,108 475 000
7,600,"Бишкек, Ала-Арча ж/м, Балыкумара",850 000,73 763 000
7,300,"Бишкек, 4 м-н, Каралаева",950 000,82 441 000
7,340,"Бишкек, КНУ, джамбуль, 68",370 000,32 108 600
7,180,"Бишкек, Арча-Бешик ж/м, Эр-Тайлак",235 000,20 393 300
5,70,"Бишкек, с. Селекционное, Арзамасская",90 000,7 810 200
6,180,"Бишкек, Старый толчок, Тоголок Молдо",253 000,21 955 340
5,160,"Бишкек, Ак-Ордо ж/м, Бурана, 67",145 900,12 646 612
3,140,Турция,700 000,60 746 000
6,96,"Бишкек, Ден Сяопина - Фучика",100 000,8 678 000
2,60,с. Новопокровка,42 000,3 644 760
5,103,"Бишкек, Кара Дарыя, Ахунбаева",215 000,18 657 700
6,240,"Бишкек, Кок-Жар ж/м, Улица Табылды Уулу Абдралы",850 000,73 763 000
5,60,"Бишкек, с. Аламудун, Панфилова, 322",75 000,6 508 500
3,90,"Бишкек, Калыс-Ордо ж/м, 10, 17",60 000,5 206 800
6,188,"Ош, Турдубая Парпиева, 7",260 000,22 562 800
7,360,"Бишкек, Джальская больница, Псковская",450 000,39 051 000
7,320,"Бишкек, Ала-Арча ж/м",780 000,67 688 400
7,217,"Бишкек, Ак-Орго ж/м, Барпы Алыкулова",125 000,10 847 500
6,225,"Бишкек, Арча-Бешик ж/м, Ыбырайыма Абдрахманова",370 000,32 108 600
3,40,"Бишкек, Тунгуч 44, Манас",100 000,8 678 000
7,311,"Бишкек, Киргизия 1 ж/м, 45 лет победы",855 000,74 196 900
7,310,"Бишкек, Ынтымак ж/м",450 000,39 051 000
5,290,"с. Бактуу-Долоноту, Кыргызская",230 000,19 959 400
6,209,"Бишкек, с. Кок-Джар, Алапаева",363 000,31 501 140
6,274,"Бишкек, Карла Маркса, Бектенова",530 000,45 993 400
5,75,"Бишкек, Тоголок-Молдо - БЧК",120 996,10 500 000
3,55,"Бишкек, Арча-Бешик ж/м, Эр Тайлак",90 000,7 810 200
3,50,"Бишкек, Восточный автовокзал, Абдумомунова",74 000,6 421 720
7,168,"Бишкек, Колмо ж/м, УМУТ",82 500,7 159 350
6,184.8,"Бишкек, Рухий Мурас ж/м, 2278",112 000,9 719 360
7,415,"Бишкек, Джальская больница, Бакаева",650 000,56 407 000
3,134,"Бишкек, с. Кок-Джар, 26",167 000,14 492 260
3,63,"Бишкек, Аламединский рынок",83 000,7 202 740
3,96.5,"Бишкек, Орозбекова/Жибек-Жолу",230 000,19 959 400
2,63,"Бишкек, Ак-Босого ж/м, Чуй 21, 3",68 000,5 901 040
7,180,"Бишкек, Ала-Тоо м-н",145 000,12 583 100
5,136,"с. Бостери, Мамытова",219 000,19 004 820
7,550,"Бишкек, Магистраль",1 200 000,104 136 000
7,364,с. Арашан,255 000,22 128 900
6,121,с. Беш-Кунгей,160 000,13 884 800
3,129,"с. Студенческое, Комсомольское, 3",65 000,5 640 700
6,190,"Бишкек, Горького - Алма-Атинская",135 000,11 715 300
6,150,"Бишкек, Ак-Орго ж/м",119 000,10 326 820
3,150,"Бишкек, кызыл алма",98 800,8 573 864
7,360,"Бишкек, БГУ, Чапаева, 1212",310 000,26 901 800
6,242,"Бишкек, Балбан-Таймаш ж/м, Кудайберген 3, 26",128 000,11 107 840
6,217,"Бишкек, Кок-Жар ж/м",300 000,26 034 000
7,280,"Бишкек, с. Кок-Джар",330 000,28 637 400
7,90,"Бишкек, Кызыл-Аскер ж/м, джамгерчинова 139",83 000,7 202 740
7,600,"Бишкек, с. Кок-Джар, маликова, 21",390 000,33 844 200
7,225,"с. Таш-Мойнок, 3",185 000,16 054 300
5,75,"Бишкек, Арча-Бешик ж/м",135 000,11 715 300
7,120,"Бишкек, Арча-Бешик ж/м",115 000,9 979 700
6,150,"Бишкек, Ак-Ордо ж/м, Чынар",130 000,11 281 400
7,380,"Бишкек, Ак-Орго ж/м",310 000,26 901 800
7,110,"с. Садовое (Московский р-н), 34",80 000,6 942 400
2,57.5,"Бишкек, Боталиева - Тулебердиева, Ижевский, 13",55 000,4 772 900
5,137,с. Сары-Ой,245 000,21 261 100
3,64,"Бишкек, Горького - Панфилова",160 000,13 884 800
7,340,"Бишкек, ж/м Биримдик Кут, 11, 4",200 000,17 356 000
7,280,"Бишкек, Арча-Бешик ж/м",380 000,32 976 400
6,1,с. Военно-Антоновка,89 000,7 715 410
5,107,"Бишкек, Кок-Жар ж/м, Тон, 90",215 000,18 657 700
7,200,"Чолпон-Ата, Панфилова, 6",185 000,16 054 300
5,104,"Бишкек, с. Аламудун, Панфилова, 137",180 000,15 620 400
3,245,"с. Байтик, Эшмамбет уулу Асылбека, 26/1",230 000,19 959 400
7,180,"Бишкек, Ак-Ордо ж/м, Ордо, 115",188 000,16 314 640
6,200,"Бишкек, с. Новопавловка",130 000,11 281 400
6,110,"Бишкек, Ала-Тоо 3 ж-м",104 000,9 025 120
7,280,"Бишкек, Арча-Бешик ж/м, Эр-Тайлак, 146",168 000,14 579 040
2,240,"Бишкек, Арча-Бешик ж/м",245 000,21 261 100
7,330,"Бишкек, Арча-Бешик ж/м",450 000,39 051 000
7,245,"Ош, Абдыкадырова 195ж7",250 000,21 695 000
7,330,"Бишкек, Киргизия 1 ж/м",480 000,41 654 400
6,64,"Каракол, Пржевальская",100 000,8 678 000
5,100,"Бишкек, Ак-Ордо ж/м",125 000,10 847 500
5,135,с. Таш-Добо,125 000,10 847 500
5,300,с. Байтик,825 000,71 593 500
7,320,"Бишкек, Джал-29 м-н",475 000,41 220 500
5,200,"Бишкек, Лущихина - Льва Толстого, Лущихина",86 000,7 463 080
6,156,"Бишкек, Ак-Ордо ж/м, Арпа",83 000,7 202 740
7,270,"Бишкек, 4 м-н",280 000,24 298 400
6,105,"Бишкек, ж/м Ала-Арча 2",156 000,13 537 680
2,28,"дп ""Строитель""",32 000,2 776 960
3,120,"Бишкек, с. Верхний Орок",115 000,9 979 700
3,120,с. Кара-Ой,180 000,15 620 400
7,172,"Чолпон-Ата, Курортная рекреационная зона",160 000,13 884 800
3,90,"Бишкек, Кызыл-Аскер ж/м",95 000,8 244 100
5,110,"Бишкек, Ак-Ордо ж/м",97 000,8 417 660
6,150,"Бишкек, Арча-Бешик ж/м",158 000,13 711 240
7,340,"Бишкек, Ала-Арча ж/м",900 000,78 102 000
7,350,"Бишкек, Горького - Панфилова",465 000,40 352 700
6,330,с. Байтик,168 000,14 579 040
5,60,"Бишкек, с. Нижняя Ала-Арча",67 000,5 814 260
7,170,"Бишкек, Арча-Бешик ж/м",180 000,15 620 400
7,198,"Бишкек, Карла Маркса",185 000,16 054 300
7,142,"с. Байтик, дача/зеленая",188 000,16 314 640
6,180,"Бишкек, Арча-Бешик ж/м, Газпром",250 000,21 695 000
6,506,"Бишкек, Ак-Босого ж/м, Ынтымак",60 000,5 206 800
7,300,"Бишкек, 4 м-н",950 000,82 441 000
7,230,с. Беш-Кунгей,190 000,16 488 200
5,123,"Бишкек, Ак-Босого ж/м",65 000,5 640 700
7,130,"Бишкек, Рухий Мурас ж/м",105 000,9 111 900
5,190,"Бишкек, с. Селекционное",157 000,13 624 460
6,146,"Бишкек, Киргизия 1 ж/м",275 000,23 864 500
8,180,"Бишкек, Кок-Жар ж/м, кок жайык, 18",200 000,17 356 000
6,100,"Бишкек, Ак-Ордо ж/м",86 000,7 463 080
5,6,"Бишкек, Карагачевая роща, Элебесова, 175",142 200,12 340 116
6,140,"Бишкек, Ахунбаева-Достоевского, 1я, 123",125 000,10 847 500
7,280,"Бишкек, Горького - Панфилова, Улица Оренбургская, 5",370 000,32 108 600
6,220,"Бишкек, Ынтымак ж/м, Чон Арык",335 000,29 071 300
3,80,"Бишкек, Кудайберген, 31",130 000,11 281 400
6,90,"Бишкек, Арча-Бешик ж/м, Он Арча, 192",185 000,16 054 300
3,36,"с. Кутургу, Понфилова, 42",15 000,1 301 700
7,450,"Бишкек, Гагарина, Купянская",285 000,24 706 650
7,180,"Бишкек, Келечек ж/м",230 000,19 959 400
7,320,"Бишкек, Ак Кеме, Сагындыкова Таланта",380 000,32 976 400
6,161,"Бишкек, Западный автовокзал, Жумабека",95 000,8 244 100
7,212,"Бишкек, Достук м-н, Профсоюзная",250 000,21 695 000
3,49,"Бишкек, Восточный автовокзал, Жибек-Жолу пр-т",150 000,13 017 000
3,56.22,"Бишкек, Ала-Тоо 3 ж-м, Эркин тоо 22-я",138 000,11 975 640
6,170,"Бишкек, Ошский рынок, Пушкина",160 000,13 884 800
3,76,"Бишкек, Ошский рынок, Пушкина",110 000,9 545 800
5,52.4,"Бишкек, Кызыл-Аскер ж/м, Орозова, 224",112 000,9 719 360
6,185,"с. Беш-Кунгей, Ордобай уулу Карымбай",240 000,20 827 200
7,280,"Бишкек, Пишпек ж/м, 33",330 000,28 637 400
7,190,"Бишкек, Чуй - Алматинка, Саратовская, 207",288 085,25 000 000
3,200,"Бишкек, Кызыл-Аскер ж/м, Арзамсская, 121",145 000,12 583 100
7,300,"Бишкек, Тунгуч 44, Ауэзова",465 000,40 352 700
6,191,"Бишкек, Махатма Ганди - БЧК, Кудрука, 162А",185 000,16 054 300
6,150,"Бишкек, Оскон-Ордо ж/м",147 000,12 756 660
5,80,"Бишкек, с. Нижняя Ала-Арча, Киргизская /Жергитал",80 000,6 942 400
7,190,"Бишкек, Ак-Ордо ж/м",151 000,13 103 780
6,1500,"с. Ленинское, Светлая, 26",135 000,11 715 300
7,350,"Бишкек, Арча-Бешик ж/м",530 000,45 993 400
7,165,"с. Чок-Тал, РОЯЛ БИЧ",233 333,20 248 638
6,100,"Бишкек, Тоголок-Молдо - БЧК, 19",107 000,9 285 460
3,60,"Бишкек, Кузнечная крепость",125 000,10 847 500
2,50,"с. Арашан, Полевая",120 000,10 413 600
7,240,"Бишкек, Ак-Ордо ж/м",149 000,12 930 220
7,300,"с. Бостери, Мамытова, 1",459 000,39 832 020
6,72,"Бишкек, Аламединский рынок",120 000,10 413 600
5,100,с. им. Фрунзе,84 400,7 324 232
6,104,"Бишкек, с. Новопавловка, Школьная",230 000,19 959 400
5,100,"Бишкек, Кок-Жар ж/м",100 000,8 678 000
6,150,"с. Бостери, Өскөлөн Кыдырмаев, зз",43 000,3 731 540
5,86,"Токмок, Вишневая, 5",70 000,6 074 600
7,300,"Бишкек, Киргизия 1 ж/м",805 000,69 857 900
7,542,"Бишкек, Пишпек ж/м",360 000,31 240 800
7,219,"Бишкек, Махатма Ганди - БЧК",160 000,13 884 800
7,300,"Бишкек, Полицейский городок м-н, Кадырбай ата",250 000,21 695 000
3,88,"Бишкек, Алтын-Ордо ж/м, Алтын-Ордо 6, 127",135 000,11 715 300
5,70,Сокулук,58 000,5 033 240
7,2000,"Бишкек, Азия Молл, Юдахина, 50-50а",170 000,14 752 600
6,180,с. Новопокровка,160 000,13 884 800
3,96.6,"Бишкек, Старый толчок, Майли-Сайский пер.",85 000,7 376 300
5,63.3,"Бишкек, Восточный автовокзал, Никитина пр",200 000,17 356 000
5,70,"Бишкек, Оскон-Ордо ж/м, 7-я",115 000,9 979 700
7,174,"Бишкек, БГУ, Николая Островского",270 000,23 430 600
3,77.6,"Бишкек, 69-га, Осконбая Козубаева",105 000,9 111 900
7,184,"Бишкек, Горького - Панфилова, Марата Темирова",289 000,25 079 420
6,120,"Бишкек, Карагачевая роща, Абдыкадырова",70 000,6 074 600
5,57,"Бишкек, Горького - Панфилова, Игембердиева",81 900,7 107 282
7,206,"Бишкек, Ала-Арча ж/м, Балык Кумара",800 000,69 424 000
7,250,"Бишкек, Ден Сяопина - Фучика, Фучика 66, 66",350 000,30 373 000
7,410,"Бишкек, Арча-Бешик ж/м",470 000,40 786 600
7,289,"Бишкек, Кара Дарыя, Карадарьинская",370 000,32 108 600
5,102,"Бишкек, с. Садовое, Бегалиева",70 000,6 074 600
6,127.6,"Бишкек, Ден Сяопина - Фучика, Мессароша",95 000,8 244 100
7,286,"Бишкек, Арча-Бешик ж/м, Жоогазын",280 000,24 298 400
5,250,"Бишкек, с. Кок-Джар",303 000,26 294 340
7,400,с. Люксембург,150 000,13 017 000
7,253.6,"Бишкек, Джальская больница, Бакаева",450 000,39 051 000
7,122,"Бишкек, Дзержинского - Куренкеева",218 000,18 918 040
7,292,"Бишкек, Космос, Ташиева Кулназара",320 000,27 769 600
7,148,"Бишкек, Тоголок Молдо - Щербакова, исанова",160 000,13 884 800
7,140,"Бишкек, Госрегистр, Пожарского",250 000,21 695 000
6,100,"Бишкек, Карла Маркса, Ахунбаева",360 000,31 240 800
6,240,"Бишкек, Арча-Бешик ж/м",320 000,27 769 600
7,300,"Бишкек, Алтын-Ордо ж/м",420 000,36 447 600
7,265,"Бишкек, Ынтымак ж/м",350 000,30 373 000
6,115,"Бишкек, Матросова, Матросова",220 000,19 091 600
3,105,"Бишкек, 110 квартал ж/м, балбан таймаш 6",78 000,6 768 840
3,100,"Бишкек, Арча-Бешик ж/м",220 000,19 091 600
7,310,"Бишкек, Арча-Бешик ж/м",395 000,34 278 100
6,300,"Бишкек, Западный автовокзал",135 000,11 715 300
5,95,"Бишкек, с. Селекционное, ул Проектируемая, 5",160 000,13 884 800
6,850,"Бишкек, с. Чон-Арык, 31",167 000,14 492 260
7,280,"Бишкек, Кок-Жар м-н, Кумушалиева",220 000,19 091 600
6,160,с. Новопокровка,150 000,13 017 000
5,70,"с. Кожомкул, Крупская, 45",65 800,5 710 124
5,217,"Бишкек, Арча-Бешик ж/м",220 000,19 091 600
6,140,"Бишкек, Щербакова ж/м",146 000,12 669 880
5,47,"Бишкек, Восточный автовокзал",55 000,4 772 900
5,56,"Бишкек, Советская - БЧК",145 000,12 583 100
7,400,"Бишкек, Кок-Жар ж/м, Молдокулова",450 000,39 051 000
7,106.7,"Кант, Ленина",105 000,9 111 900
7,246,с. Кутургу,460 000,39 918 800
3,100,"Бишкек, с. Орто-Сай",200 000,17 356 000
7,220,"Бишкек, Восточный автовокзал, Осмонкула",350 000,30 373 000
5,206,с. им. С. Чокморова,310 000,26 901 800
5,250,с. Байтик,163 000,14 145 140
3,80,"Бишкек, с. Кок-Джар, Конур Осмон",199 900,17 347 322
7,180,"Бишкек, Кызыл-Аскер ж/м, Жамгырчинова",119 000,10 326 820
3,85,"Бишкек, Джальская больница, Симферопольская, 11",120 000,10 413 600
7,180,"с. Новопокровка, Ленина, 349",168 000,14 579 040
5,90,"с. Ленинское, 278",79 000,6 855 620
7,220,"Бишкек, Кызыл-Аскер ж/м, Димитрова, 16/1",320 000,27 769 600
7,220,"с. Ак-Суу (Теплоключенка), Гагарина, 67",150 000,13 017 000
6,56.6,"Токмок, 17",36 000,3 124 080
3,70,"с. Джаны-Джер, Апасова 1, 1",35 000,3 037 300
6,95,"Бишкек, Колмо ж/м",110 000,9 545 800
6,245,"Бишкек, с. Чон-Арык",330 000,28 637 400
7,230,"Бишкек, Кара Дарыя, Суванбердиева",465 000,40 352 700
7,232,"Бишкек, Пишпек ж/м, Крылова",260 000,22 562 800
5,120,"Бишкек, Жибек-Жолу - Лермонтова, 87",75 999,6 595 193
7,300,"Бишкек, Кудайберген",155 000,13 450 900
5,90,"Бишкек, 69-га, Исхак разаков, 22",130 000,11 281 400
5,117,"Бишкек, Алтын-Ордо ж/м, Алтын ордо, 19",212 212,18 415 757
6,226,"Бишкек, Кара Дарыя, Скрябина, 16",265 000,22 996 700
7,500,с. Кашка-Суу,460 000,39 918 800
5,200,"с. Арашан, Атакулова, 13",230 000,19 959 400
7,280,"Бишкек, Ак Кеме, Сагындыкова",419 999,36 447 513
5,54,"Бишкек, Ак-Жар ж/м, 39, 55",39 999,3 471 113
7,350,"Бишкек, Карла Маркса, Белорусская, 48",435 000,37 749 300
7,280,"Бишкек, Арча-Бешик ж/м, Ахунбаева",405 000,35 145 900
7,234,"Бишкек, АЮ Grand",178 000,15 446 840
7,180,"Бишкек, с. Новопавловка",165 000,14 318 700
6,92,"с. Военно-Антоновка, Ленина",72 000,6 248 160
6,180,"Бишкек, Рухий Мурас ж/м, 6-я улица",175 000,15 186 500
7,190,"Бишкек, Ак-Ордо ж/м",162 000,14 058 360
7,400,"с. Новопокровка, Ленина",420 000,36 447 600
6,130,"Бишкек, Щербакова ж/м",108 000,9 372 240
7,322,"Бишкек, Карла Маркса, Юнусалиева",410 000,35 579 800
3,85,"Бишкек, с. Аламудун, Переулок Чуйский",95 000,8 244 100
2,48,"Бишкек, Чуй - Алматинка, Кирова, 6а",103 711,9 000 000
5,80,"Бишкек, Лебединовка",152 109,13 200 000
3,138,"Бишкек, с. Орто-Сай",77 000,6 682 060
7,617,"Бишкек, Арча-Бешик ж/м",1 200 000,104 136 000
7,220,"Бишкек, Кара Дарыя, Ахунбаева",510 000,44 257 800
7,117,"Бишкек, с. Маевка, 3",120 000,10 413 600
6,283,"Бишкек, АУЦА",200 000,17 356 000
7,200,"Бишкек, Ден Сяопина - Фучика",185 000,16 054 300
7,300,"Бишкек, Оскон-Ордо ж/м",142 000,12 322 760
7,100,Шопоков,85 000,7 376 300
3,100,Чолпон-Ата,100 000,8 678 000
3,80,"Бишкек, с. Джал, М.Асанбаева, 5/2",60 000,5 206 800
7,180,"Ош, Дыйкан Кыштак 14 улица, 28 дом",150 000,13 017 000
6,100,"Бишкек, Карла Маркса",220 000,19 091 600
3,95,"Бишкек, с. Новопавловка, 44",68 000,5 901 040
7,232,"Бишкек, Курганская, 58",250 000,21 695 000
8,140,с. Сары-Ой,308 000,26 728 240
3,60,"Бишкек, Учкун ж/м, 63",240 000,20 827 200
1,28,с. Кара Джыгач,33 000,2 863 740
6,88,"Бишкек, с. Новопавловка, Баетова, 68",47 000,4 078 660
6,277,"Бишкек, Кок-Жар ж/м, Санжыра",330 000,28 637 400
5,70,"Бишкек, БГУ, Юдахина",260 000,22 562 800
7,97,"Бишкек, 69-га, 16-я",107 000,9 285 460
7,232.2,"Бишкек, Ала-Тоо м-н, Кара-Алма",140 000,12 149 200
6,306,"Бишкек, Карла Маркса, Бектенова",520 000,45 125 600
7,1275,"Бишкек, КНУ, Уметалиева",850 000,73 763 000
3,100,"Бишкек, Ала-Тоо м-н, Бештектир-2",230 000,19 959 400
3,122,"с. Байтик, Байтик",150 000,13 017 000
7,100,"Чолпон-Ата, Баетова, 2",98 000,8 504 440
5,80,"Бишкек, с. Аламудун",100 000,8 678 000
5,90,"Бишкек, Ден Сяопина - Фучика",110 000,9 545 800
6,433,"Бишкек, Киргизия 1 ж/м, Кожомкулова",625 000,54 237 500
5,50,"Каракол, Абдрахманова",175 000,15 186 500
6,180,"Бишкек, Джальская больница, Целинная",385 000,33 410 300
6,190,"Бишкек, Учкун ж/м, 73",168 000,14 579 040
7,194,"Бишкек, с. Новопавловка",141 000,12 235 980
7,175,"Бишкек, с. Мыкан, Алиакбарова",74 000,6 421 720
7,86,"Бишкек, Нижний Токольдош, Карский",100 000,8 678 000
5,180,"Бишкек, с. Новопавловка",66 000,5 727 480
5,101,"с. Бактуу-Долоноту, Каприз",260 000,22 562 800
6,200,"Бишкек, Советская - Скрябина, Садовый пер.",350 000,30 373 000
6,242,"Бишкек, Кудайберген",270 000,23 430 600
5,130,"Бишкек, с. Аламудун",120 000,10 413 600
8,235,"Бишкек, с. Кок-Джар, куюкова, 13/3",195 000,16 922 100
3,110,"Бишкек, Арча-Бешик ж/м, Садыбакасова",255 000,22 128 900
7,140,"Бишкек, Арча-Бешик ж/м",210 000,18 223 800
3,80,"с. Таш-Добо, Советская",105 000,9 111 900
7,510,"Бишкек, Лебединовка, Победы пр-т",650 000,56 407 000
7,367,с. Беш-Кунгей,380 000,32 976 400
2,63,"Бишкек, Ак-Босого ж/м, Чуй 21-я",68 000,5 901 040
6,223,с. Беш-Кунгей,145 000,12 583 100
7,300,"Бишкек, Арча-Бешик ж/м",200 000,17 356 000
5,100,с. Кара-Ой,176 000,15 273 280
7,250,"Бишкек, Рухий Мурас ж/м",150 000,13 017 000
3,63,"Бишкек, Колмо ж/м",70 999,6 161 293
7,165,"Бишкек, Кок-Жар ж/м",152 000,13 190 560
7,350,"Бишкек, Юг-2 м-н",530 000,45 993 400
6,195,"Бишкек, Юг-2 м-н",320 000,27 769 600
5,90,"Бишкек, Бакай-Ата ж/м",79 500,6 899 010
5,70,"Бишкек, Кара-Жыгач ж/м, Льва толстого",109 000,9 459 020
6,105,"Бишкек, ж/м Ала-Арча 2",108 000,9 372 240
6,500,с. Комсомольское,52 000,4 512 560
5,160,"Бишкек, ж/м Биримдик Кут",59 000,5 120 020
5,75,Кант,26 000,2 256 280
6,377,"село Ленинское, Юбилейная",165 000,14 318 700
7,190,"Бишкек, Ак-Орго ж/м, кун, 137",195 000,16 922 100
6,105,"Бишкек, Учкун ж/м",130 000,11 281 400
5,162,"с. Таш-Добо, Кыдыралиева",148 000,12 843 440
7,220,с. Беш-Кунгей,254 000,22 042 120
3,145,"Бишкек, Арча-Бешик ж/м, Абдрахманова-1",230 000,19 959 400
7,321,"Бишкек, Кара-Жыгач ж/м, Чок Тал",250 000,21 695 000
7,260,"Бишкек, Арча-Бешик ж/м",350 000,30 373 000
5,150,"д/п Бек-Тоо, 6-линия",82 000,7 115 960
7,100,"Бишкек, Рабочий Городок, купянская",255 000,22 128 900
6,120,"Бишкек, Лебединовка",128 000,11 107 840
7,240,"Бишкек, Оскон-Ордо ж/м",140 000,12 149 200
7,270,"Бишкек, 4 м-н",285 000,24 732 300
5,56,"Бишкек, с. Чон-Арык, Мусулманкулова",180 000,15 620 400
5,160,"Бишкек, с. Кок-Джар",205 000,17 789 900
7,230,"Бишкек, Аламединский рынок, Салиева",375 000,32 542 500
3,103,с. Коджояр,105 000,9 111 900
5,150,"Бишкек, с. Верхний Орок, Кавказская 2 я, 2",45 000,3 905 100
6,216,"Бишкек, Западный автовокзал, Краснодонцев, 26",300 000,26 034 000
5,130,"Бишкек, Аламединский рынок, Муса джалия",145 000,12 583 100
3,60,"Бишкек, с. Достук, 97",48 500,4 208 830
3,75,"Бишкек, Лебединовка",120 000,10 413 600
7,200,"Бишкек, с. Пригородное, Ул.Курманияз Рыспаев, 5",170 000,14 752 600
5,80,"Бишкек, Ак-Ордо 3 ж/м, Данияр, 3",65 000,5 640 700
6,210,"Каракол, Кутманалиева 29а, 29а",160 000,13 884 800
7,220,"Бишкек, Ак-Орго ж/м",170 000,14 752 600
7,230,с. Кош-Коль,320 000,27 769 600
5,140,"Бишкек, Ак-Ордо ж/м, Тагай Бий",145 000,12 583 100
7,220,"Бишкек, Ынтымак ж/м, Чон Арык",340 000,29 505 200
7,280,"Бишкек, Горького - Панфилова",365 000,31 674 700
7,100,"Бишкек, с. Новопавловка",115 000,9 979 700
6,310,"Бишкек, Арча-Бешик ж/м, Садыбакасова",370 000,32 108 600
7,210,"Бишкек, Алтын-Ордо ж/м",350 000,30 373 000
6,231,"Бишкек, Арча-Бешик ж/м, Баха",350 000,30 373 000
7,150,"Бишкек, Рабочий Городок",180 000,15 620 400
7,440,"Бишкек, с. Кок-Джар, Алапаева",570 000,49 464 600
6,170,"с. Беш-Кунгей, Мамыркулова Темиркана, 9",170 000,14 752 600
7,180,"Бишкек, КНУ, Тимирязева",459 000,39 832 020
5,130,"с. Ленинское, Алма-Атинская, 175",106 015,9 200 000
7,307,"Бишкек, КНУ",410 000,35 579 800
7,220,"Бишкек, Арча-Бешик ж/м, Узун Булак, 21",380 000,32 976 400
6,100,"Бишкек, Рабочий Городок",235 000,20 393 300
7,330,"Бишкек, с. Кок-Джар",265 000,22 996 700
5,105,"Бишкек, Арча-Бешик ж/м",157 000,13 624 460
5,120,"Бишкек, Полицейский городок м-н",127 000,11 021 060
3,55,"Бишкек, с. Маевка, 81",75 000,6 508 500
3,37,"Бишкек, Рабочий Городок, Беговой пер.",75 000,6 508 500
5,81.1,"Бишкек, Восточный автовокзал, Балыкчинский пер",172 000,14 926 160
7,100,"Шопоков, Шевченко, 14",85 000,7 376 300
5,206.5,"Бишкек, Горького - Панфилова, Ошский пер.",240 000,20 827 200
7,220,"Бишкек, Горького - Панфилова, Абая",268 000,23 257 040
6,180,"Бишкек, Учкун ж/м, Огонбаева Жылдызбека",230 000,19 959 400
7,165,"Бишкек, с. Новопавловка, Баетова",125 000,10 847 500
5,170,"с. Беш-Кунгей, Мамыркулова Темиркана",160 000,13 884 800
5,170,"с. Беш-Кунгей, Мамыркулова Темиркана",160 000,13 884 800
5,170,"с. Беш-Кунгей, Мамыркулова Темиркана",160 000,13 884 800
5,100,с. Кой-Таш,90 000,7 810 200
5,100,"с. Интернациональное, Первомайская, 68",65 000,5 640 700
6,200,"Бишкек, с. Кок-Джар",280 000,24 298 400
6,415,"Бишкек, Карла Маркса",365 000,31 674 700
7,150,"Бишкек, Оскон-Ордо ж/м, 9, 183а",69 000,5 987 820
6,108,"Бишкек, Достук м-н",62 000,5 380 360
5,100,"Бишкек, Келечек ж/м",100 000,8 678 000
6,125,"Бишкек, Оскон-Ордо ж/м",72 500,6 291 550
1,110,"Бишкек, Ак-Ордо ж/м",75 000,6 508 500
6,110,"Бишкек, Ак-Ордо ж/м",75 000,6 508 500
7,480,"с. Бостери, Кожембердиева",300 000,26 034 000
6,65,"Бишкек, Советская - Куренкеева",140 000,12 149 200
5,200,"Бишкек, КНУ, Жибек Жолу",300 000,26 034 000
8,126,"Талас, Жакшылык Тагайбаев, 121",68 000,5 901 040
7,162,"Бишкек, Политех, Токтоналиева",370 000,32 108 600
6,68,"с. Военно-Антоновка, Комсомольская, 15",78 359,6 800 000
5,86,"Бишкек, Гагарина, 34",370 000,32 075 300
7,200,"Бишкек, Кара-Жыгач ж/м, Жетиген, 1",194 000,16 835 320
7,118.5,"с. Первомайское (Сокулукский р-н), Береговая, 115",65 000,5 640 700
7,180,"Бишкек, Западный автовокзал, кулиева, 99",145 000,12 583 100
7,250,"Сокулук, ошская",93 000,8 070 540
7,210,"Бишкек, с. Новопавловка, Кызыл-кыя, 6",210 000,18 223 800
7,365,"Бишкек, Ала-Арча ж/м",820 000,71 159 600
7,165,"Бишкек, Оскон-Ордо ж/м, 9",106 000,9 198 680
