Количество комнат,Площадь (м²),Адрес,Цена ($),Цена (сом)
7,310.0,"Бишкек, Киргизия 1 ж/м",485000,42088300
3,73.0,"Бишкек, Кудайберген",68000,5901040
7,640.0,"Бишкек, Киргизия 1 ж/м",1350000,117153000
5,80.0,Кант,68000,5901040
7,632.0,"Бишкек, с. Орто-Сай",1250000,108475000
6,93.0,"Бишкек, Чуй - Алматинка, Саратовская",155000,13450900
7,334.6,"Бишкек, Арча-Бешик ж/м, Масалиева",940000,81573200
6,302.0,"Бишкек, Жилгородок Ницца, Токомбаева",700000,60746000
7,600.0,"Бишкек, Ала-Арча ж/м, байтик баатыра, 9",850000,73763000
5,550.0,"Бишкек, с. Орто-Сай, балы Кумара, 8",1250000,108475000
7,600.0,"Бишкек, Ала-Арча ж/м, Балыкумара",850000,73763000
7,300.0,"Бишкек, 4 м-н, Каралаева",950000,82441000
7,340.0,"Бишкек, КНУ, джамбуль, 68",370000,32108600
7,180.0,"Бишкек, Арча-Бешик ж/м, Эр-Тайлак",235000,20393300
5,70.0,"Бишкек, с. Селекционное, Арзамасская",90000,7810200
6,180.0,"Бишкек, Старый толчок, Тоголок Молдо",253000,21955340
5,160.0,"Бишкек, Ак-Ордо ж/м, Бурана, 67",145900,12646612
3,140.0,Турция,700000,60746000
6,96.0,"Бишкек, Ден Сяопина - Фучика",100000,8678000
2,60.0,с. Новопокровка,42000,3644760
5,103.0,"Бишкек, Кара Дарыя, Ахунбаева",215000,18657700
6,240.0,"Бишкек, Кок-Жар ж/м, Улица Табылды Уулу Абдралы",850000,73763000
5,60.0,"Бишкек, с. Аламудун, Панфилова, 322",75000,6508500
3,90.0,"Бишкек, Калыс-Ордо ж/м, 10, 17",60000,5206800
6,188.0,"Ош, Турдубая Парпиева, 7",260000,22562800
7,360.0,"Бишкек, Джальская больница, Псковская",450000,39051000
7,320.0,"Бишкек, Ала-Арча ж/м",780000,67688400
7,217.0,"Бишкек, Ак-Орго ж/м, Барпы Алыкулова",125000,10847500
6,225.0,"Бишкек, Арча-Бешик ж/м, Ыбырайыма Абдрахманова",370000,32108600
3,40.0,"Бишкек, Тунгуч 44, Манас",100000,8678000
7,311.0,"Бишкек, Киргизия 1 ж/м, 45 лет победы",855000,74196900
7,310.0,"Бишкек, Ынтымак ж/м",450000,39051000
5,290.0,"с. Бактуу-Долоноту, Кыргызская",230000,19959400
6,209.0,"Бишкек, с. Кок-Джар, Алапаева",363000,31501140
6,274.0,"Бишкек, Карла Маркса, Бектенова",530000,45993400
5,75.0,"Бишкек, Тоголок-Молдо - БЧК",120996,10500000
3,55.0,"Бишкек, Арча-Бешик ж/м, Эр Тайлак",90000,7810200
3,50.0,"Бишкек, Восточный автовокзал, Абдумомунова",74000,6421720
7,168.0,"Бишкек, Колмо ж/м, УМУТ",82500,7159350
6,184.8,"Бишкек, Рухий Мурас ж/м, 2278",112000,9719360
7,415.0,"Бишкек, Джальская больница, Бакаева",650000,56407000
3,134.0,"Бишкек, с. Кок-Джар, 26",167000,14492260
3,63.0,"Бишкек, Аламединский рынок",83000,7202740
3,96.5,"Бишкек, Орозбекова/Жибек-Жолу",230000,19959400
2,63.0,"Бишкек, Ак-Босого ж/м, Чуй 21, 3",68000,5901040
7,180.0,"Бишкек, Ала-Тоо м-н",145000,12583100
5,136.0,"с. Бостери, Мамытова",219000,19004820
7,550.0,"Бишкек, Магистраль",1200000,104136000
7,364.0,с. Арашан,255000,22128900
6,121.0,с. Беш-Кунгей,160000,13884800
3,129.0,"с. Студенческое, Комсомольское, 3",65000,5640700
6,190.0,"Бишкек, Горького - Алма-Атинская",135000,11715300
6,150.0,"Бишкек, Ак-Орго ж/м",119000,10326820
3,150.0,"Бишкек, кызыл алма",98800,8573864
7,360.0,"Бишкек, БГУ, Чапаева, 1212",310000,26901800
6,242.0,"Бишкек, Балбан-Таймаш ж/м, Кудайберген 3, 26",128000,11107840
6,217.0,"Бишкек, Кок-Жар ж/м",300000,26034000
7,280.0,"Бишкек, с. Кок-Джар",330000,28637400
7,90.0,"Бишкек, Кызыл-Аскер ж/м, джамгерчинова 139",83000,7202740
7,600.0,"Бишкек, с. Кок-Джар, маликова, 21",390000,33844200
7,225.0,"с. Таш-Мойнок, 3",185000,16054300
5,75.0,"Бишкек, Арча-Бешик ж/м",135000,11715300
7,120.0,"Бишкек, Арча-Бешик ж/м",115000,9979700
6,150.0,"Бишкек, Ак-Ордо ж/м, Чынар",130000,11281400
7,380.0,"Бишкек, Ак-Орго ж/м",310000,26901800
7,110.0,"с. Садовое (Московский р-н), 34",80000,6942400
2,57.5,"Бишкек, Боталиева - Тулебердиева, Ижевский, 13",55000,4772900
5,137.0,с. Сары-Ой,245000,21261100
3,64.0,"Бишкек, Горького - Панфилова",160000,13884800
7,340.0,"Бишкек, ж/м Биримдик Кут, 11, 4",200000,17356000
7,280.0,"Бишкек, Арча-Бешик ж/м",380000,32976400
6,1.0,с. Военно-Антоновка,89000,7715410
5,107.0,"Бишкек, Кок-Жар ж/м, Тон, 90",215000,18657700
7,200.0,"Чолпон-Ата, Панфилова, 6",185000,16054300
5,104.0,"Бишкек, с. Аламудун, Панфилова, 137",180000,15620400
3,245.0,"с. Байтик, Эшмамбет уулу Асылбека, 26/1",230000,19959400
7,180.0,"Бишкек, Ак-Ордо ж/м, Ордо, 115",188000,16314640
6,200.0,"Бишкек, с. Новопавловка",130000,11281400
6,110.0,"Бишкек, Ала-Тоо 3 ж-м",104000,9025120
7,280.0,"Бишкек, Арча-Бешик ж/м, Эр-Тайлак, 146",168000,14579040
2,240.0,"Бишкек, Арча-Бешик ж/м",245000,21261100
7,330.0,"Бишкек, Арча-Бешик ж/м",450000,39051000
7,245.0,"Ош, Абдыкадырова 195ж7",250000,21695000
7,330.0,"Бишкек, Киргизия 1 ж/м",480000,41654400
6,64.0,"Каракол, Пржевальская",100000,8678000
5,100.0,"Бишкек, Ак-Ордо ж/м",125000,10847500
5,135.0,с. Таш-Добо,125000,10847500
5,300.0,с. Байтик,825000,71593500
7,320.0,"Бишкек, Джал-29 м-н",475000,41220500
5,200.0,"Бишкек, Лущихина - Льва Толстого, Лущихина",86000,7463080
6,156.0,"Бишкек, Ак-Ордо ж/м, Арпа",83000,7202740
7,270.0,"Бишкек, 4 м-н",280000,24298400
6,105.0,"Бишкек, ж/м Ала-Арча 2",156000,13537680
2,28.0,"дп ""Строитель""",32000,2776960
3,120.0,"Бишкек, с. Верхний Орок",115000,9979700
3,120.0,с. Кара-Ой,180000,15620400
7,172.0,"Чолпон-Ата, Курортная рекреационная зона",160000,13884800
3,90.0,"Бишкек, Кызыл-Аскер ж/м",95000,8244100
5,110.0,"Бишкек, Ак-Ордо ж/м",97000,8417660
6,150.0,"Бишкек, Арча-Бешик ж/м",158000,13711240
7,340.0,"Бишкек, Ала-Арча ж/м",900000,78102000
7,350.0,"Бишкек, Горького - Панфилова",465000,40352700
6,330.0,с. Байтик,168000,14579040
5,60.0,"Бишкек, с. Нижняя Ала-Арча",67000,5814260
7,170.0,"Бишкек, Арча-Бешик ж/м",180000,15620400
7,198.0,"Бишкек, Карла Маркса",185000,16054300
7,142.0,"с. Байтик, дача/зеленая",188000,16314640
6,180.0,"Бишкек, Арча-Бешик ж/м, Газпром",250000,21695000
6,506.0,"Бишкек, Ак-Босого ж/м, Ынтымак",60000,5206800
7,300.0,"Бишкек, 4 м-н",950000,82441000
7,230.0,с. Беш-Кунгей,190000,16488200
5,123.0,"Бишкек, Ак-Босого ж/м",65000,5640700
7,130.0,"Бишкек, Рухий Мурас ж/м",105000,9111900
5,190.0,"Бишкек, с. Селекционное",157000,13624460
6,146.0,"Бишкек, Киргизия 1 ж/м",275000,23864500
8,180.0,"Бишкек, Кок-Жар ж/м, кок жайык, 18",200000,17356000
6,100.0,"Бишкек, Ак-Ордо ж/м",86000,7463080
5,6.0,"Бишкек, Карагачевая роща, Элебесова, 175",142200,12340116
6,140.0,"Бишкек, Ахунбаева-Достоевского, 1я, 123",125000,10847500
7,280.0,"Бишкек, Горького - Панфилова, Улица Оренбургская, 5",370000,32108600
6,220.0,"Бишкек, Ынтымак ж/м, Чон Арык",335000,29071300
3,80.0,"Бишкек, Кудайберген, 31",130000,11281400
6,90.0,"Бишкек, Арча-Бешик ж/м, Он Арча, 192",185000,16054300
3,36.0,"с. Кутургу, Понфилова, 42",15000,1301700
7,450.0,"Бишкек, Гагарина, Купянская",285000,24706650
7,180.0,"Бишкек, Келечек ж/м",230000,19959400
7,320.0,"Бишкек, Ак Кеме, Сагындыкова Таланта",380000,32976400
6,161.0,"Бишкек, Западный автовокзал, Жумабека",95000,8244100
7,212.0,"Бишкек, Достук м-н, Профсоюзная",250000,21695000
3,49.0,"Бишкек, Восточный автовокзал, Жибек-Жолу пр-т",150000,13017000
3,56.22,"Бишкек, Ала-Тоо 3 ж-м, Эркин тоо 22-я",138000,11975640
6,170.0,"Бишкек, Ошский рынок, Пушкина",160000,13884800
3,76.0,"Бишкек, Ошский рынок, Пушкина",110000,9545800
5,52.4,"Бишкек, Кызыл-Аскер ж/м, Орозова, 224",112000,9719360
6,185.0,"с. Беш-Кунгей, Ордобай уулу Карымбай",240000,20827200
7,280.0,"Бишкек, Пишпек ж/м, 33",330000,28637400
7,190.0,"Бишкек, Чуй - Алматинка, Саратовская, 207",288085,25000000
3,200.0,"Бишкек, Кызыл-Аскер ж/м, Арзамсская, 121",145000,12583100
7,300.0,"Бишкек, Тунгуч 44, Ауэзова",465000,40352700
6,191.0,"Бишкек, Махатма Ганди - БЧК, Кудрука, 162А",185000,16054300
6,150.0,"Бишкек, Оскон-Ордо ж/м",147000,12756660
5,80.0,"Бишкек, с. Нижняя Ала-Арча, Киргизская /Жергитал",80000,6942400
7,190.0,"Бишкек, Ак-Ордо ж/м",151000,13103780
6,1500.0,"с. Ленинское, Светлая, 26",135000,11715300
7,350.0,"Бишкек, Арча-Бешик ж/м",530000,45993400
7,165.0,"с. Чок-Тал, РОЯЛ БИЧ",233333,20248638
6,100.0,"Бишкек, Тоголок-Молдо - БЧК, 19",107000,9285460
3,60.0,"Бишкек, Кузнечная крепость",125000,10847500
2,50.0,"с. Арашан, Полевая",120000,10413600
7,240.0,"Бишкек, Ак-Ордо ж/м",149000,12930220
7,300.0,"с. Бостери, Мамытова, 1",459000,39832020
6,72.0,"Бишкек, Аламединский рынок",120000,10413600
5,100.0,с. им. Фрунзе,84400,7324232
6,104.0,"Бишкек, с. Новопавловка, Школьная",230000,19959400
5,100.0,"Бишкек, Кок-Жар ж/м",100000,8678000
6,150.0,"с. Бостери, Өскөлөн Кыдырмаев, зз",43000,3731540
5,86.0,"Токмок, Вишневая, 5",70000,6074600
7,300.0,"Бишкек, Киргизия 1 ж/м",805000,69857900
7,542.0,"Бишкек, Пишпек ж/м",360000,31240800
7,219.0,"Бишкек, Махатма Ганди - БЧК",160000,13884800
7,300.0,"Бишкек, Полицейский городок м-н, Кадырбай ата",250000,21695000
3,88.0,"Бишкек, Алтын-Ордо ж/м, Алтын-Ордо 6, 127",135000,11715300
5,70.0,Сокулук,58000,5033240
7,2000.0,"Бишкек, Азия Молл, Юдахина, 50-50а",170000,14752600
6,180.0,с. Новопокровка,160000,13884800
3,96.6,"Бишкек, Старый толчок, Майли-Сайский пер.",85000,7376300
5,63.3,"Бишкек, Восточный автовокзал, Никитина пр",200000,17356000
5,70.0,"Бишкек, Оскон-Ордо ж/м, 7-я",115000,9979700
7,174.0,"Бишкек, БГУ, Николая Островского",270000,23430600
3,77.6,"Бишкек, 69-га, Осконбая Козубаева",105000,9111900
7,184.0,"Бишкек, Горького - Панфилова, Марата Темирова",289000,25079420
6,120.0,"Бишкек, Карагачевая роща, Абдыкадырова",70000,6074600
5,57.0,"Бишкек, Горького - Панфилова, Игембердиева",81900,7107282
7,206.0,"Бишкек, Ала-Арча ж/м, Балык Кумара",800000,69424000
7,250.0,"Бишкек, Ден Сяопина - Фучика, Фучика 66, 66",350000,30373000
7,410.0,"Бишкек, Арча-Бешик ж/м",470000,40786600
7,289.0,"Бишкек, Кара Дарыя, Карадарьинская",370000,32108600
5,102.0,"Бишкек, с. Садовое, Бегалиева",70000,6074600
6,127.6,"Бишкек, Ден Сяопина - Фучика, Мессароша",95000,8244100
7,286.0,"Бишкек, Арча-Бешик ж/м, Жоогазын",280000,24298400
5,250.0,"Бишкек, с. Кок-Джар",303000,26294340
7,400.0,с. Люксембург,150000,13017000
7,253.6,"Бишкек, Джальская больница, Бакаева",450000,39051000
7,122.0,"Бишкек, Дзержинского - Куренкеева",218000,18918040
7,292.0,"Бишкек, Космос, Ташиева Кулназара",320000,27769600
7,148.0,"Бишкек, Тоголок Молдо - Щербакова, исанова",160000,13884800
7,140.0,"Бишкек, Госрегистр, Пожарского",250000,21695000
6,100.0,"Бишкек, Карла Маркса, Ахунбаева",360000,31240800
6,240.0,"Бишкек, Арча-Бешик ж/м",320000,27769600
7,300.0,"Бишкек, Алтын-Ордо ж/м",420000,36447600
7,265.0,"Бишкек, Ынтымак ж/м",350000,30373000
6,115.0,"Бишкек, Матросова, Матросова",220000,19091600
3,105.0,"Бишкек, 110 квартал ж/м, балбан таймаш 6",78000,6768840
3,100.0,"Бишкек, Арча-Бешик ж/м",220000,19091600
7,310.0,"Бишкек, Арча-Бешик ж/м",395000,34278100
6,300.0,"Бишкек, Западный автовокзал",135000,11715300
5,95.0,"Бишкек, с. Селекционное, ул Проектируемая, 5",160000,13884800
6,850.0,"Бишкек, с. Чон-Арык, 31",167000,14492260
7,280.0,"Бишкек, Кок-Жар м-н, Кумушалиева",220000,19091600
6,160.0,с. Новопокровка,150000,13017000
5,70.0,"с. Кожомкул, Крупская, 45",65800,5710124
5,217.0,"Бишкек, Арча-Бешик ж/м",220000,19091600
6,140.0,"Бишкек, Щербакова ж/м",146000,12669880
5,47.0,"Бишкек, Восточный автовокзал",55000,4772900
5,56.0,"Бишкек, Советская - БЧК",145000,12583100
7,400.0,"Бишкек, Кок-Жар ж/м, Молдокулова",450000,39051000
7,106.7,"Кант, Ленина",105000,9111900
7,246.0,с. Кутургу,460000,39918800
3,100.0,"Бишкек, с. Орто-Сай",200000,17356000
7,220.0,"Бишкек, Восточный автовокзал, Осмонкула",350000,30373000
5,206.0,с. им. С. Чокморова,310000,26901800
5,250.0,с. Байтик,163000,14145140
3,80.0,"Бишкек, с. Кок-Джар, Конур Осмон",199900,17347322
7,180.0,"Бишкек, Кызыл-Аскер ж/м, Жамгырчинова",119000,10326820
3,85.0,"Бишкек, Джальская больница, Симферопольская, 11",120000,10413600
7,180.0,"с. Новопокровка, Ленина, 349",168000,14579040
5,90.0,"с. Ленинское, 278",79000,6855620
7,220.0,"Бишкек, Кызыл-Аскер ж/м, Димитрова, 16/1",320000,27769600
7,220.0,"с. Ак-Суу (Теплоключенка), Гагарина, 67",150000,13017000
6,56.6,"Токмок, 17",36000,3124080
3,70.0,"с. Джаны-Джер, Апасова 1, 1",35000,3037300
6,95.0,"Бишкек, Колмо ж/м",110000,9545800
6,245.0,"Бишкек, с. Чон-Арык",330000,28637400
7,230.0,"Бишкек, Кара Дарыя, Суванбердиева",465000,40352700
7,232.0,"Бишкек, Пишпек ж/м, Крылова",260000,22562800
5,120.0,"Бишкек, Жибек-Жолу - Лермонтова, 87",75999,6595193
7,300.0,"Бишкек, Кудайберген",155000,13450900
5,90.0,"Бишкек, 69-га, Исхак разаков, 22",130000,11281400
5,117.0,"Бишкек, Алтын-Ордо ж/м, Алтын ордо, 19",212212,18415757
6,226.0,"Бишкек, Кара Дарыя, Скрябина, 16",265000,22996700
7,500.0,с. Кашка-Суу,460000,39918800
5,200.0,"с. Арашан, Атакулова, 13",230000,19959400
7,280.0,"Бишкек, Ак Кеме, Сагындыкова",419999,36447513
5,54.0,"Бишкек, Ак-Жар ж/м, 39, 55",39999,3471113
7,350.0,"Бишкек, Карла Маркса, Белорусская, 48",435000,37749300
7,280.0,"Бишкек, Арча-Бешик ж/м, Ахунбаева",405000,35145900
7,234.0,"Бишкек, АЮ Grand",178000,15446840
7,180.0,"Бишкек, с. Новопавловка",165000,14318700
6,92.0,"с. Военно-Антоновка, Ленина",72000,6248160
6,180.0,"Бишкек, Рухий Мурас ж/м, 6-я улица",175000,15186500
7,190.0,"Бишкек, Ак-Ордо ж/м",162000,14058360
7,400.0,"с. Новопокровка, Ленина",420000,36447600
6,130.0,"Бишкек, Щербакова ж/м",108000,9372240
7,322.0,"Бишкек, Карла Маркса, Юнусалиева",410000,35579800
3,85.0,"Бишкек, с. Аламудун, Переулок Чуйский",95000,8244100
2,48.0,"Бишкек, Чуй - Алматинка, Кирова, 6а",103711,9000000
5,80.0,"Бишкек, Лебединовка",152109,13200000
3,138.0,"Бишкек, с. Орто-Сай",77000,6682060
7,617.0,"Бишкек, Арча-Бешик ж/м",1200000,104136000
7,220.0,"Бишкек, Кара Дарыя, Ахунбаева",510000,44257800
7,117.0,"Бишкек, с. Маевка, 3",120000,10413600
6,283.0,"Бишкек, АУЦА",200000,17356000
7,200.0,"Бишкек, Ден Сяопина - Фучика",185000,16054300
7,300.0,"Бишкек, Оскон-Ордо ж/м",142000,12322760
7,100.0,Шопоков,85000,7376300
3,100.0,Чолпон-Ата,100000,8678000
3,80.0,"Бишкек, с. Джал, М.Асанбаева, 5/2",60000,5206800
7,180.0,"Ош, Дыйкан Кыштак 14 улица, 28 дом",150000,13017000
6,100.0,"Бишкек, Карла Маркса",220000,19091600
3,95.0,"Бишкек, с. Новопавловка, 44",68000,5901040
7,232.0,"Бишкек, Курганская, 58",250000,21695000
8,140.0,с. Сары-Ой,308000,26728240
3,60.0,"Бишкек, Учкун ж/м, 63",240000,20827200
1,28.0,с. Кара Джыгач,33000,2863740
6,88.0,"Бишкек, с. Новопавловка, Баетова, 68",47000,4078660
6,277.0,"Бишкек, Кок-Жар ж/м, Санжыра",330000,28637400
5,70.0,"Бишкек, БГУ, Юдахина",260000,22562800
7,97.0,"Бишкек, 69-га, 16-я",107000,9285460
7,232.2,"Бишкек, Ала-Тоо м-н, Кара-Алма",140000,12149200
6,306.0,"Бишкек, Карла Маркса, Бектенова",520000,45125600
7,1275.0,"Бишкек, КНУ, Уметалиева",850000,73763000
3,100.0,"Бишкек, Ала-Тоо м-н, Бештектир-2",230000,19959400
3,122.0,"с. Байтик, Байтик",150000,13017000
7,100.0,"Чолпон-Ата, Баетова, 2",98000,8504440
5,80.0,"Бишкек, с. Аламудун",100000,8678000
5,90.0,"Бишкек, Ден Сяопина - Фучика",110000,9545800
6,433.0,"Бишкек, Киргизия 1 ж/м, Кожомкулова",625000,54237500
5,50.0,"Каракол, Абдрахманова",175000,15186500
6,180.0,"Бишкек, Джальская больница, Целинная",385000,33410300
6,190.0,"Бишкек, Учкун ж/м, 73",168000,14579040
7,194.0,"Бишкек, с. Новопавловка",141000,12235980
7,175.0,"Бишкек, с. Мыкан, Алиакбарова",74000,6421720
7,86.0,"Бишкек, Нижний Токольдош, Карский",100000,8678000
5,180.0,"Бишкек, с. Новопавловка",66000,5727480
5,101.0,"с. Бактуу-Долоноту, Каприз",260000,22562800
6,200.0,"Бишкек, Советская - Скрябина, Садовый пер.",350000,30373000
6,242.0,"Бишкек, Кудайберген",270000,23430600
5,130.0,"Бишкек, с. Аламудун",120000,10413600
8,235.0,"Бишкек, с. Кок-Джар, куюкова, 13/3",195000,16922100
3,110.0,"Бишкек, Арча-Бешик ж/м, Садыбакасова",255000,22128900
7,140.0,"Бишкек, Арча-Бешик ж/м",210000,18223800
3,80.0,"с. Таш-Добо, Советская",105000,9111900
7,510.0,"Бишкек, Лебединовка, Победы пр-т",650000,56407000
7,367.0,с. Беш-Кунгей,380000,32976400
2,63.0,"Бишкек, Ак-Босого ж/м, Чуй 21-я",68000,5901040
6,223.0,с. Беш-Кунгей,145000,12583100
7,300.0,"Бишкек, Арча-Бешик ж/м",200000,17356000
5,100.0,с. Кара-Ой,176000,15273280
7,250.0,"Бишкек, Рухий Мурас ж/м",150000,13017000
3,63.0,"Бишкек, Колмо ж/м",70999,6161293
7,165.0,"Бишкек, Кок-Жар ж/м",152000,13190560
7,350.0,"Бишкек, Юг-2 м-н",530000,45993400
6,195.0,"Бишкек, Юг-2 м-н",320000,27769600
5,90.0,"Бишкек, Бакай-Ата ж/м",79500,6899010
5,70.0,"Бишкек, Кара-Жыгач ж/м, Льва толстого",109000,9459020
6,105.0,"Бишкек, ж/м Ала-Арча 2",108000,9372240
6,500.0,с. Комсомольское,52000,4512560
5,160.0,"Бишкек, ж/м Биримдик Кут",59000,5120020
5,75.0,Кант,26000,2256280
6,377.0,"село Ленинское, Юбилейная",165000,14318700
7,190.0,"Бишкек, Ак-Орго ж/м, кун, 137",195000,16922100
6,105.0,"Бишкек, Учкун ж/м",130000,11281400
5,162.0,"с. Таш-Добо, Кыдыралиева",148000,12843440
7,220.0,с. Беш-Кунгей,254000,22042120
3,145.0,"Бишкек, Арча-Бешик ж/м, Абдрахманова-1",230000,19959400
7,321.0,"Бишкек, Кара-Жыгач ж/м, Чок Тал",250000,21695000
7,260.0,"Бишкек, Арча-Бешик ж/м",350000,30373000
5,150.0,"д/п Бек-Тоо, 6-линия",82000,7115960
7,100.0,"Бишкек, Рабочий Городок, купянская",255000,22128900
6,120.0,"Бишкек, Лебединовка",128000,11107840
7,240.0,"Бишкек, Оскон-Ордо ж/м",140000,12149200
7,270.0,"Бишкек, 4 м-н",285000,24732300
5,56.0,"Бишкек, с. Чон-Арык, Мусулманкулова",180000,15620400
5,160.0,"Бишкек, с. Кок-Джар",205000,17789900
7,230.0,"Бишкек, Аламединский рынок, Салиева",375000,32542500
3,103.0,с. Коджояр,105000,9111900
5,150.0,"Бишкек, с. Верхний Орок, Кавказская 2 я, 2",45000,3905100
6,216.0,"Бишкек, Западный автовокзал, Краснодонцев, 26",300000,26034000
5,130.0,"Бишкек, Аламединский рынок, Муса джалия",145000,12583100
3,60.0,"Бишкек, с. Достук, 97",48500,4208830
3,75.0,"Бишкек, Лебединовка",120000,10413600
7,200.0,"Бишкек, с. Пригородное, Ул.Курманияз Рыспаев, 5",170000,14752600
5,80.0,"Бишкек, Ак-Ордо 3 ж/м, Данияр, 3",65000,5640700
6,210.0,"Каракол, Кутманалиева 29а, 29а",160000,13884800
7,220.0,"Бишкек, Ак-Орго ж/м",170000,14752600
7,230.0,с. Кош-Коль,320000,27769600
5,140.0,"Бишкек, Ак-Ордо ж/м, Тагай Бий",145000,12583100
7,220.0,"Бишкек, Ынтымак ж/м, Чон Арык",340000,29505200
7,280.0,"Бишкек, Горького - Панфилова",365000,31674700
7,100.0,"Бишкек, с. Новопавловка",115000,9979700
6,310.0,"Бишкек, Арча-Бешик ж/м, Садыбакасова",370000,32108600
7,210.0,"Бишкек, Алтын-Ордо ж/м",350000,30373000
6,231.0,"Бишкек, Арча-Бешик ж/м, Баха",350000,30373000
7,150.0,"Бишкек, Рабочий Городок",180000,15620400
7,440.0,"Бишкек, с. Кок-Джар, Алапаева",570000,49464600
6,170.0,"с. Беш-Кунгей, Мамыркулова Темиркана, 9",170000,14752600
7,180.0,"Бишкек, КНУ, Тимирязева",459000,39832020
5,130.0,"с. Ленинское, Алма-Атинская, 175",106015,9200000
7,307.0,"Бишкек, КНУ",410000,35579800
7,220.0,"Бишкек, Арча-Бешик ж/м, Узун Булак, 21",380000,32976400
6,100.0,"Бишкек, Рабочий Городок",235000,20393300
7,330.0,"Бишкек, с. Кок-Джар",265000,22996700
5,105.0,"Бишкек, Арча-Бешик ж/м",157000,13624460
5,120.0,"Бишкек, Полицейский городок м-н",127000,11021060
3,55.0,"Бишкек, с. Маевка, 81",75000,6508500
3,37.0,"Бишкек, Рабочий Городок, Беговой пер.",75000,6508500
5,81.1,"Бишкек, Восточный автовокзал, Балыкчинский пер",172000,14926160
7,100.0,"Шопоков, Шевченко, 14",85000,7376300
5,206.5,"Бишкек, Горького - Панфилова, Ошский пер.",240000,20827200
7,220.0,"Бишкек, Горького - Панфилова, Абая",268000,23257040
6,180.0,"Бишкек, Учкун ж/м, Огонбаева Жылдызбека",230000,19959400
7,165.0,"Бишкек, с. Новопавловка, Баетова",125000,10847500
5,170.0,"с. Беш-Кунгей, Мамыркулова Темиркана",160000,13884800
5,170.0,"с. Беш-Кунгей, Мамыркулова Темиркана",160000,13884800
5,170.0,"с. Беш-Кунгей, Мамыркулова Темиркана",160000,13884800
5,100.0,с. Кой-Таш,90000,7810200
5,100.0,"с. Интернациональное, Первомайская, 68",65000,5640700
6,200.0,"Бишкек, с. Кок-Джар",280000,24298400
6,415.0,"Бишкек, Карла Маркса",365000,31674700
7,150.0,"Бишкек, Оскон-Ордо ж/м, 9, 183а",69000,5987820
6,108.0,"Бишкек, Достук м-н",62000,5380360
5,100.0,"Бишкек, Келечек ж/м",100000,8678000
6,125.0,"Бишкек, Оскон-Ордо ж/м",72500,6291550
1,110.0,"Бишкек, Ак-Ордо ж/м",75000,6508500
6,110.0,"Бишкек, Ак-Ордо ж/м",75000,6508500
7,480.0,"с. Бостери, Кожембердиева",300000,26034000
6,65.0,"Бишкек, Советская - Куренкеева",140000,12149200
5,200.0,"Бишкек, КНУ, Жибек Жолу",300000,26034000
8,126.0,"Талас, Жакшылык Тагайбаев, 121",68000,5901040
7,162.0,"Бишкек, Политех, Токтоналиева",370000,32108600
6,68.0,"с. Военно-Антоновка, Комсомольская, 15",78359,6800000
5,86.0,"Бишкек, Гагарина, 34",370000,32075300
7,200.0,"Бишкек, Кара-Жыгач ж/м, Жетиген, 1",194000,16835320
7,118.5,"с. Первомайское (Сокулукский р-н), Береговая, 115",65000,5640700
7,180.0,"Бишкек, Западный автовокзал, кулиева, 99",145000,12583100
7,250.0,"Сокулук, ошская",93000,8070540
7,210.0,"Бишкек, с. Новопавловка, Кызыл-кыя, 6",210000,18223800
7,365.0,"Бишкек, Ала-Арча ж/м",820000,71159600
7,165.0,"Бишкек, Оскон-Ордо ж/м, 9",106000,9198680
7,252.0,"Бишкек, ж/м Ала-Арча 2",310000,26901800
7,210.0,"Бишкек, Арча-Бешик ж/м",258000,22389240
3,50.0,"с. Бир-Булак, Капкараева",93000,8070540
3,84.0,"с. Кара-Ой, фонтан+",95000,8244100
5,150.0,"Бишкек, Рухий Мурас ж/м",178000,15446840
5,80.0,с. Военно-Антоновка,75000,6508500
3,100.0,"Бишкек, Нижний Токольдош",104000,9025120
5,200.0,"Бишкек, с. Кок-Джар, Алапаева",175000,15186500
7,250.0,"Шопоков, Ала-арчинская 23",180000,15620400
3,110.0,"Бишкек, Ала-Тоо 3 ж-м, 2",90000,7810200
2,55.0,"Бишкек, Алтын-Бешик ж/м",75000,6508500
7,217.0,"Бишкек, Ак-Ордо ж/м",180000,15620400
6,100.0,"с. Новопокровка, Линейная",67000,5814260
7,260.0,"Бишкек, Учкун ж/м",250000,21695000
5,65.0,"Бишкек, Кок-Жар ж/м, Тон",148000,12843440
7,200.0,"с. Ленинское, 37",132000,11443080
5,54.0,с. Александровка,90000,7810200
7,482.0,"Бишкек, 12 м-н",550000,47729000
7,300.0,"Бишкек, с. Кок-Джар",360000,31240800
3,62.0,"Бишкек, Учкун ж/м, Путейская, 99",80000,6942400
3,49.0,"Бишкек, Ак-Босого ж/м, Чуй 47 а, 13 а",47000,4078660
7,300.0,"Бишкек, с. Орто-Сай, Иманалиева",325200,28220856
2,65.0,"с. Сары-Ой, Нурдоолот, 90а/2",110000,9545800
6,100.0,"Бишкек, с. Новопавловка",105000,9111900
7,180.0,"Бишкек, Кара-Жыгач ж/м",215000,18657700
5,100.0,"Бишкек, БГУ, Юдахина, 106",180000,15620400
3,43.0,"Бишкек, с. Новопавловка, Почтовая, 30А",65000,5640700
